millis,DID,data_hex,u16be
508,0x0,00 77,119
527,0x1,00 04,4
531,0x2,02 52,594
536,0x3,03 F5,1013
542,0x4,02 F1,753
547,0x5,C8 32,51250
552,0x6,01 EF,495
557,0x7,00 76,118
562,0x8,02 DA,730
566,0x9,00 33,51
571,0x10,02 D9,729
576,0x11,00 33,51
582,0x12,03 FF,1023
592,0x28,00 7A,122
598,0x29,00 00,0
602,0x30,01 20,288
617,0x31,00 00,0
622,0x34,01 2B,299
627,0x35,00 04,4
632,0x38,00 66,102
637,0x39,00 00,0
642,0x41,00 00,0
647,0x42,00 FF,255
651,0x44,00 00,0
656,0x60,00 00,0
662,0x61,00 FF,255
668,0x64,00 00,0
673,0x70,00 1A,26
678,0x71,00 04,4
684,0x72,01 F1,497
688,0x73,00 76,118
693,0x76,00 CD,205
707,0x77,00 00,0
711,0x100,00 00,0
716,0x102,80 00,32768
721,0x107,00 00,0
727,0x108,1F 20,7968
731,0x110,00 00,0
736,0x120,00 80,128
741,0x122,00 80,128
747,0x130,00 00,0
752,0x132,00 00,0
757,0x140,80 84,32900
762,0x151,80 C2,32962
768,0x166,80 C2,32962
771,0x168,81 BB,33211
776,0x471,00 FF,255
781,0x601,00 FF,255
795,0x608,01 20,288
800,0x610,00 DD,221
804,0x611,01 64,356
811,0x612,01 EA,490
814,0x613,02 70,624
819,0x614,02 F7,759
825,0x615,03 7D,893
830,0x620,79 9A,31130
835,0x621,79 9A,31130
840,0x622,79 9A,31130
845,0x623,79 9A,31130
850,0x624,79 9A,31130
854,0x625,79 9A,31130
859,0x626,79 9A,31130
865,0x627,79 9A,31130
870,0x628,79 9A,31130
885,0x629,75 C3,30147
890,0x640,AC CD,44237
893,0x641,59 40,22848
898,0x642,00 02,2
903,0x643,00 00,0
909,0x801,00 1A,26
914,0x802,93 1C,37660
919,0x803,00 5E,94
924,0x1000,00 00,0
929,0x1001,00 00,0
933,0x1002,00 00,0
942,0x1004,00 00,0
947,0x1005,00 00,0
952,0x1007,00 00,0
957,0x1009,00 00,0
962,0x1011,00 00,0
977,0x1013,00 00,0
983,0x1014,00 00,0
988,0x1020,00 00,0
993,0x1028,00 00,0
998,0x1030,00 00,0
1003,0x1033,00 00,0
1008,0x1040,00 00,0
1013,0x1041,00 00,0
1017,0x1042,00 00,0
1022,0x1043,00 00,0
1028,0x1044,00 00,0
1033,0x1045,00 00,0
1038,0x1046,00 00,0
1043,0x1047,00 00,0
1048,0x1048,00 00,0
1053,0x1049,00 00,0
1069,0x1050,00 00,0
1074,0x1051,00 00,0
1079,0x8004,00 01,1
1087,0x8021,00 80,128
1091,0x8031,00 80,128
2380,0x0,00 77,119
2396,0x1,00 04,4
2400,0x2,02 52,594
2405,0x3,03 F5,1013
2411,0x4,02 F1,753
2416,0x5,C8 32,51250
2421,0x6,01 EF,495
2426,0x7,00 76,118
2432,0x8,02 DA,730
2436,0x9,00 33,51
2440,0x10,02 D9,729
2445,0x11,00 33,51
2451,0x12,03 FF,1023
2461,0x28,00 7A,122
2466,0x29,00 00,0
2471,0x30,01 20,288
2485,0x31,00 00,0
2489,0x34,01 2B,299
2495,0x35,00 04,4
2500,0x38,00 66,102
2505,0x39,00 00,0
2510,0x41,00 00,0
2515,0x42,00 FF,255
2519,0x44,00 00,0
2525,0x60,00 00,0
2530,0x61,00 FF,255
2536,0x64,00 00,0
2541,0x70,00 1A,26
2546,0x71,00 04,4
2551,0x72,01 F1,497
2556,0x73,00 76,118
2560,0x76,00 CD,205
2574,0x77,00 00,0
2579,0x100,00 00,0
2584,0x102,80 00,32768
2589,0x107,00 00,0
2594,0x108,1F 20,7968
2598,0x110,00 00,0
2603,0x120,00 80,128
2608,0x122,00 80,128
2614,0x130,00 00,0
2619,0x132,00 00,0
2624,0x140,80 84,32900
2629,0x151,80 C2,32962
2634,0x166,80 C2,32962
2639,0x168,81 BB,33211
2643,0x471,00 FF,255
2648,0x601,00 FF,255
2668,0x608,01 20,288
2673,0x610,00 DD,221
2677,0x611,01 64,356
2681,0x612,01 EA,490
2686,0x613,02 70,624
