705,0x0,00 77,119,,
710,0x100,00 00,0,RPM,0
716,0x2,02 52,594,,
721,0x9,00 41,65,CoolantC,65
724,0x3,03 F5,1013,,
728,0x4,02 F0,752,,
731,0x76,00 CD,205,TPS,20.0
734,0x5,C8 32,51250,,
738,0x6,01 F0,496,,
741,0x70,00 1A,26,Grip,10.2
743,0x7,00 76,118,,
747,0x8,02 4A,586,,
750,0x1,00 03,3,Throttle,1.2
758,0x10,02 BF,703,,
761,0x31,00 00,0,Gear,0
764,0x11,00 36,54,,
781,0x64,00 00,0,Switch,0
786,0x12,03 FF,1023,,
790,0x610,00 DD,221,TempA,22.1
794,0x28,00 7A,122,,
802,0x611,01 64,356,TempB,35.6
805,0x29,00 00,0,,
808,0x30,01 20,288,,
812,0x612,01 EA,490,TempC,49.0
817,0x34,01 2A,298,,
822,0x613,02 70,624,TempD,62.4
824,0x35,00 03,3,,
827,0x38,00 66,102,,
831,0x614,02 F7,759,TempE,75.9
834,0x39,00 00,0,,
837,0x41,00 00,0,,
842,0x615,03 7D,893,TempF,89.3
860,0x42,00 FF,255,,
865,0x44,00 00,0,,
869,0x60,00 00,0,,
875,0x61,00 FF,255,,
890,0x71,00 03,3,,
897,0x72,01 F2,498,,
900,0x73,00 77,119,,
909,0x77,00 00,0,,
920,0x102,80 00,32768,,
930,0x107,00 00,0,,
933,0x108,1E 04,7684,,
940,0x110,00 00,0,,
943,0x120,00 80,128,,
948,0x122,00 80,128,,
952,0x130,00 00,0,,
959,0x132,00 00,0,,
977,0x140,80 84,32900,,
984,0x151,80 C2,32962,,
987,0x166,80 C2,32962,,
992,0x168,81 BB,33211,,
998,0x471,00 FF,255,,
1003,0x601,00 FF,255,,
1008,0x608,01 20,288,,
1043,0x620,79 9A,31130,,
1048,0x621,79 9A,31130,,
1053,0x622,79 9A,31130,,
1058,0x623,79 9A,31130,,
1063,0x624,79 9A,31130,,
1067,0x625,79 9A,31130,,
1072,0x626,79 9A,31130,,
1078,0x627,79 9A,31130,,
1088,0x628,79 9A,31130,,
1107,0x629,75 C3,30147,,
1114,0x640,AC CD,44237,,
1119,0x641,59 40,22848,,
1124,0x642,00 02,2,,
1129,0x643,00 00,0,,
1134,0x801,00 1A,26,,
1139,0x802,90 AA,37034,,
1144,0x803,00 5E,94,,
1148,0x1000,00 00,0,,
1153,0x1001,00 00,0,,
1159,0x1002,00 00,0,,
1164,0x1004,00 00,0,,
1169,0x1005,00 00,0,,
1174,0x1007,00 00,0,,
1179,0x1009,00 00,0,,
1184,0x1011,00 00,0,,
1203,0x1013,00 00,0,,
1208,0x1014,00 00,0,,
1213,0x1020,00 00,0,,
1218,0x1028,00 00,0,,
1228,0x1030,00 00,0,,
1231,0x1033,00 00,0,,
1238,0x1040,00 00,0,,
1242,0x1041,00 00,0,,
1248,0x1042,00 00,0,,
1252,0x1043,00 00,0,,
1258,0x1044,00 00,0,,
1262,0x1045,00 00,0,,
1268,0x1046,00 00,0,,
1271,0x1047,00 00,0,,
1277,0x1048,00 00,0,,
1282,0x1049,00 00,0,,
1303,0x1050,00 00,0,,
1308,0x1051,00 00,0,,
1312,0x8004,00 01,1,,
1317,0x8021,00 80,128,,
1324,0x8031,00 80,128,,
1353,0x5,C8 00,51200,,
1684,0x802,99 C3,39363,,
2197,0x802,97 9D,38813,,
2395,0x1,00 04,4,Throttle,1.6
2403,0x10,02 BE,702,,
2530,0x1,00 03,3,Throttle,1.2
2712,0x802,99 CA,39370,,
2867,0x0,00 76,118,,
2887,0x4,02 F1,753,,
3219,0x801,00 19,25,,
3223,0x802,9B 38,39736,,
3389,0x0,00 77,119,,
3400,0x2,02 53,595,,
3580,0x1,00 04,4,Throttle,1.6
3712,0x1,00 03,3,Throttle,1.2
3742,0x801,00 1A,26,,
3746,0x802,99 81,39297,,
3902,0x0,00 76,118,,
3912,0x2,02 52,594,,
3915,0x3,03 F7,1015,,
3927,0x5,C8 32,51250,,
4258,0x802,8F 06,36614,,
4428,0x3,03 F5,1013,,
4439,0x5,C8 00,51200,,
4769,0x802,8D 06,36102,,
4950,0x4,02 F0,752,,
5284,0x802,8D 9A,36250,,
5420,0x1,00 04,4,Throttle,1.6
5451,0x0,00 77,119,,
5470,0x4,02 F1,753,,
5475,0x5,C8 32,51250,,
5549,0x1,00 03,3,Throttle,1.2
5806,0x802,8D 0C,36108,,
5983,0x4,02 F0,752,,
6202,0x1,00 04,4,Throttle,1.6
6317,0x802,8C 30,35888,,
6333,0x1,00 03,3,Throttle,1.2
6475,0x0,00 76,118,,
6499,0x5,C8 00,51200,,
6524,0x10,02 BD,701,,
6830,0x802,99 8C,39308,,
6986,0x1,00 04,4,Throttle,1.6
7006,0x4,02 F1,753,,
7121,0x1,00 03,3,Throttle,1.2
7355,0x802,97 43,38723,,
7514,0x0,00 77,119,,
7533,0x4,02 F0,752,,
7537,0x5,C8 32,51250,,
7604,0x34,01 2D,301,,
7608,0x35,00 04,4,,
7614,0x38,00 73,115,,
7617,0x39,00 08,8,,
7622,0x76,00 EE,238,TPS,23.3
7633,0x70,00 23,35,Grip,13.7
7643,0x1,00 07,7,Throttle,2.7
7659,0x71,00 0A,10,,
7664,0x72,01 F1,497,,
7670,0x73,00 76,118,,
7681,0x77,00 16,22,,
7767,0x76,01 59,345,TPS,33.7
7777,0x70,00 3B,59,Grip,23.1
7786,0x1,00 11,17,Throttle,6.7
7879,0x801,00 3C,60,,
7884,0x802,98 6B,39019,,
7897,0x76,01 A2,418,TPS,40.9
8026,0x76,01 D6,470,TPS,45.9
8045,0x0,00 98,152,,
8055,0x2,02 53,595,,
8069,0x5,C8 00,51200,,
8135,0x34,01 45,325,,
8140,0x35,00 10,16,,
8144,0x38,00 FF,255,,
8150,0x39,00 5C,92,,
8158,0x76,02 01,513,TPS,50.1
8190,0x71,00 11,17,,
8209,0x72,01 F2,498,,
8214,0x73,00 77,119,,
8224,0x77,00 63,99,,
8299,0x76,02 39,569,TPS,55.6
8410,0x801,00 3B,59,,
8414,0x802,94 03,37891,,
8429,0x76,02 6E,622,TPS,60.8
8449,0x1,00 10,16,Throttle,6.3
8558,0x76,02 AE,686,TPS,67.1
8579,0x1,00 11,17,Throttle,6.7
8588,0x2,02 52,594,,
8601,0x5,C8 32,51250,,
8677,0x38,01 6F,367,,
8682,0x39,00 9F,159,,
8690,0x76,02 DF,735,TPS,71.8
8743,0x77,00 A4,164,,
8829,0x76,03 02,770,TPS,75.3
8947,0x802,9C D1,40145,,
8960,0x76,03 2D,813,TPS,79.5
9088,0x76,03 5B,859,TPS,84.0
9126,0x5,C8 00,51200,,
9201,0x38,01 BD,445,,
9206,0x39,00 CF,207,,
9219,0x76,03 7B,891,TPS,87.1
9267,0x77,00 D2,210,,
9350,0x76,03 99,921,TPS,90.0
9458,0x802,9B 85,39813,,
9634,0x4,02 F1,753,,
9639,0x5,C8 32,51250,,
9644,0x6,01 EF,495,,
9714,0x38,01 CD,461,,
9723,0x39,00 D8,216,,
9794,0x77,00 D8,216,,
9984,0x802,96 03,38403,,
10162,0x4,02 F0,752,,
10166,0x5,C8 00,51200,,
10172,0x6,01 F0,496,,
10422,0x1,00 10,16,Throttle,6.3
10497,0x802,95 87,38279,,
10532,0x76,03 84,900,TPS,88.0
10551,0x1,00 11,17,Throttle,6.7
10663,0x76,03 6B,875,TPS,85.5
10673,0x4,02 F1,753,,
10678,0x5,C8 32,51250,,
10753,0x38,01 B3,435,,
10757,0x39,00 C9,201,,
10792,0x76,03 61,865,TPS,84.6
10818,0x77,00 C7,199,,
10934,0x76,03 56,854,TPS,83.5
11019,0x802,94 E0,38112,,
11070,0x76,03 48,840,TPS,82.1
11199,0x76,03 40,832,TPS,81.3
11202,0x4,02 F0,752,,
11280,0x38,01 9F,415,,
11284,0x39,00 BD,189,,
11329,0x76,03 39,825,TPS,80.6
11345,0x77,00 BB,187,,
11351,0x1,00 10,16,Throttle,6.3
11461,0x76,03 33,819,TPS,80.1
11481,0x1,00 11,17,Throttle,6.7
11536,0x802,94 8E,38030,,
11591,0x76,03 30,816,TPS,79.8
11722,0x76,03 29,809,TPS,79.1
11743,0x10,02 BC,700,,
11800,0x38,01 94,404,,
11806,0x39,00 B6,182,,
11854,0x76,03 22,802,TPS,78.4
11866,0x77,00 B4,180,,
11985,0x76,03 1B,795,TPS,77.7
12057,0x802,94 07,37895,,
12116,0x76,03 0C,780,TPS,76.2
12231,0x3,03 F7,1015,,
12237,0x4,02 F1,753,,
12241,0x5,C8 00,51200,,
12247,0x76,02 FE,766,TPS,74.9
12318,0x38,01 7D,381,,
12322,0x39,00 A8,168,,
12377,0x76,02 F3,755,TPS,73.8
12381,0x77,00 A6,166,,
12506,0x76,02 E1,737,TPS,72.0
12528,0x1,00 10,16,Throttle,6.3
12584,0x802,99 8C,39308,,
12638,0x76,02 DA,730,TPS,71.4
12658,0x1,00 11,17,Throttle,6.7
14236,0x0,00 8E,142,,
14252,0x3,03 F5,1013,,
14262,0x76,01 06,262,TPS,25.6
14272,0x70,00 29,41,Grip,16.1
14282,0x1,00 09,9,Throttle,3.5
14329,0x34,01 2F,303,,
14334,0x35,00 06,6,,
14340,0x38,00 6C,108,,
14345,0x39,00 04,4,,
14385,0x71,00 03,3,,
14393,0x76,00 CD,205,TPS,20.0
14403,0x70,00 1A,26,Grip,10.2
14415,0x1,00 03,3,Throttle,1.2
14420,0x77,00 00,0,,
14606,0x801,00 1A,26,,
14611,0x802,93 98,37784,,
14767,0x0,00 76,118,,
14786,0x4,02 F0,752,,
14791,0x5,C8 32,51250,,
14857,0x34,01 2A,298,,
14861,0x35,00 03,3,,
14867,0x38,00 66,102,,
14872,0x39,00 00,0,,
15125,0x802,8A 85,35461,,
15282,0x0,00 77,119,,
15292,0x2,02 53,595,,
15302,0x4,02 F1,753,,
15636,0x802,97 11,38673,,
15812,0x2,02 52,594,,
15822,0x4,02 F0,752,,
16158,0x802,8D 59,36185,,
16315,0x0,00 76,118,,
16335,0x4,02 F1,753,,
16623,0x76,00 F4,244,TPS,23.9
